dataset,n,R,metodo,tiempo
FB_res_peso_asc,0,50000,BT-O,0.002053
FB_res_peso_asc,1,4,BT-O,0.002315
FB_res_peso_asc,2,17,BT-O,0.002084
FB_res_peso_asc,3,11,BT-O,0.001893
FB_res_peso_asc,4,40,BT-O,0.002094
FB_res_peso_asc,5,40,BT-O,0.002655
FB_res_peso_asc,6,51,BT-O,0.003146
FB_res_peso_asc,7,63,BT-O,0.004308
FB_res_peso_asc,8,78,BT-O,0.005851
FB_res_peso_asc,9,85,BT-O,0.014507
FB_res_peso_asc,10,100,BT-O,0.015449
FB_res_peso_asc,11,103,BT-O,0.031839
FB_res_peso_asc,12,113,BT-O,0.049993
FB_res_peso_asc,13,130,BT-O,0.111208
FB_res_peso_asc,14,135,BT-O,0.191066
FB_res_peso_asc,15,142,BT-O,0.449729
FB_res_peso_asc,16,157,BT-O,0.860365
FB_res_peso_asc,17,156,BT-O,1.51886
FB_res_peso_asc,18,153,BT-O,3.57842
FB_res_peso_asc,19,183,BT-O,7.01243
FB_res_peso_asc,20,199,BT-O,26.4125
FB_res_peso_asc,21,197,BT-O,25.659
FB_res_peso_asc,22,214,BT-O,51.8315
FB_res_peso_asc,23,225,BT-O,102.648
FB_res_peso_asc,24,237,BT-O,209.249
FB_res_peso_asc,25,242,BT-O,445.643
FB_res_peso_asc,26,242,BT-O,820.35
FB_res_peso_asc,27,266,BT-O,1623.64
FB_res_peso_desc,0,49994,BT-O,0.001463
FB_res_peso_desc,1,10,BT-O,0.001863
FB_res_peso_desc,2,19,BT-O,0.001392
FB_res_peso_desc,3,28,BT-O,0.002415
FB_res_peso_desc,4,25,BT-O,0.001884
FB_res_peso_desc,5,43,BT-O,0.002275
FB_res_peso_desc,6,54,BT-O,0.002845
FB_res_peso_desc,7,62,BT-O,0.003797
FB_res_peso_desc,8,76,BT-O,0.006623
FB_res_peso_desc,9,88,BT-O,0.01068
FB_res_peso_desc,10,97,BT-O,0.019506
FB_res_peso_desc,11,107,BT-O,0.031239
FB_res_peso_desc,12,110,BT-O,0.057297
FB_res_peso_desc,13,126,BT-O,0.111408
FB_res_peso_desc,14,137,BT-O,0.210994
FB_res_peso_desc,15,135,BT-O,1.26695
FB_res_peso_desc,16,157,BT-O,2.24999
FB_res_peso_desc,17,165,BT-O,2.09874
FB_res_peso_desc,18,179,BT-O,3.35034
FB_res_peso_desc,19,167,BT-O,16.5836
FB_res_peso_desc,20,193,BT-O,12.8056
FB_res_peso_desc,21,200,BT-O,26.5838
FB_res_peso_desc,22,215,BT-O,65.6261
FB_res_peso_desc,23,222,BT-O,123.57
FB_res_peso_desc,24,231,BT-O,226.157
FB_res_peso_desc,25,240,BT-O,413.313
FB_res_peso_desc,26,247,BT-O,817.811
FB_res_peso_desc,27,249,BT-O,1631.13
